Round,Home,Away
17,Gil Vicente,Sporting
17,Vitória SC,CD Nacional
17,Tondela,Arouca
17,Benfica,Estoril
17,E Amadora,Braga
17,AFS,Moreirense
17,Rio Ave,Casa Pia
17,Santa Clara,FC Porto
17,Alverca,Famalicão
