Round,Home,Result,Away
18,FC Twente,1:1,PEC Zwolle
18,PSV,5:1,Excelsior
18,Groningen,0:0,NAC Breda
18,Heerenveen,2:2,Feyenoord
18,Go Ahead Eagles,2:2,Fortuna Sittard
18,Telstar,2:3,Ajax
18,Sparta R.,2:0,Heracles Almelo
19,Ajax,2:2,Go Ahead Eagles
19,PEC Zwolle,3:1,AZ Alkmaar
19,Excelsior,2:2,Telstar
19,Fortuna Sittard,1:2,PSV
19,NAC Breda,3:4,NEC Nijmegen
