League,Clube,Vitórias,Sem derrotas,Sem vitórias,Perdeu,A zero,Cartões amarelos,Cartões vermelhos,Duplo amarelo,Duplo amarelo.1,Pontos,Derrotas,Empate,Jogos a perder,Jogos com liderança,Cabeceio,Canhotos,Destros,Penalidade,Tiro livre,Total,Golos total,Marcadores diferentes,Estrangeiros,Plantel,Valor de mercado total,ø-Idade,ø-valor de mercado,Golos,Remates à baliza,Taxa
ES1,Rayo Valhecano,0.0,0.0,7.0,1.0,0.0,43,2,1,3,56,7.0,2.0,9.0,6.0,2.0,4.0,4.0,1.0,0.0,13.0,13.0,8.0,13.0,25.0,"94,30 M €","28,9","3,77 M €",13.0,334.0,"3,9 %"
ES1,Real Sociedad,0.0,1.0,4.0,0.0,0.0,37,0,0,0,37,8.0,4.0,13.0,7.0,2.0,6.0,7.0,3.0,1.0,21.0,21.0,9.0,9.0,26.0,"250,70 M €","26,1","9,64 M €",21.0,316.0,"6,6 %"
ES1,Valência CF,0.0,1.0,4.0,0.0,0.0,31,1,0,1,36,7.0,4.0,11.0,6.0,4.0,4.0,6.0,0.0,0.0,16.0,16.0,7.0,11.0,23.0,"156,00 M €","27,4","6,78 M €",16.0,268.0,"6,0 %"
ES1,Girona FC,0.0,0.0,1.0,1.0,0.0,31,3,2,5,52,8.0,1.0,10.0,8.0,1.0,1.0,8.0,3.0,0.0,15.0,15.0,7.0,15.0,26.0,"146,50 M €","28,0","5,63 M €",15.0,210.0,"7,1 %"
ES1,Real Oviedo,0.0,1.0,10.0,0.0,1.0,28,4,3,7,57,10.0,1.0,12.0,4.0,1.0,1.0,2.0,1.0,0.0,7.0,7.0,6.0,15.0,26.0,"58,40 M €","28,9","2,25 M €",7.0,220.0,"3,2 %"
ES1,Levante UD,0.0,1.0,8.0,0.0,0.0,38,1,0,1,43,10.0,1.0,11.0,6.0,3.0,2.0,8.0,2.0,1.0,17.0,17.0,9.0,7.0,24.0,"85,50 M €","26,5","3,56 M €",17.0,229.0,"7,4 %"
L1,Bayer Leverkusen,2.0,2.0,0.0,0.0,0.0,30,0,2,2,36,4.0,0.0,5.0,12.0,6.0,5.0,14.0,3.0,2.0,33.0,33.0,12.0,22.0,27.0,"430,45 M €","25,7","15,94 M €",33.0,301.0,"11,0 %"
L1,FC Union Berlim,2.0,2.0,0.0,0.0,1.0,37,1,0,1,42,6.0,0.0,6.0,8.0,3.0,5.0,9.0,0.0,0.0,20.0,20.0,8.0,,,,,,20.0,270.0,"7,4 %"
L1,FC Bayern Munique,1.0,15.0,0.0,0.0,1.0,33,0,0,0,33,0.0,2.0,4.0,14.0,7.0,15.0,20.0,6.0,0.0,55.0,54.0,13.0,13.0,26.0,"980,65 M €","26,5","37,72 M €",55.0,382.0,"14,4 %"
L1,Borussia Dortmund,1.0,8.0,0.0,0.0,1.0,25,2,0,2,35,1.0,1.0,2.0,13.0,4.0,8.0,12.0,1.0,0.0,26.0,26.0,13.0,15.0,28.0,"511,40 M €","26,3","18,26 M €",26.0,246.0,"10,6 %"
L1,SC Friburgo,1.0,2.0,0.0,0.0,0.0,19,1,1,2,27,5.0,2.0,9.0,9.0,2.0,3.0,12.0,4.0,1.0,25.0,23.0,11.0,11.0,27.0,"182,20 M €","27,5","6,75 M €",25.0,274.0,"9,1 %"
L1,RB Leipzig,0.0,0.0,2.0,2.0,0.0,24,0,0,0,24,4.0,0.0,4.0,12.0,2.0,11.0,11.0,1.0,1.0,30.0,29.0,11.0,21.0,30.0,"409,55 M €","24,2","13,65 M €",30.0,335.0,"9,0 %"
L1,TSG 1899 Hoffenheim,0.0,2.0,1.0,0.0,1.0,28,0,0,0,28,4.0,1.0,8.0,9.0,4.0,3.0,12.0,2.0,1.0,29.0,27.0,9.0,21.0,33.0,"203,35 M €","25,2","6,16 M €",29.0,261.0,"11,1 %"
L1,VfB Estugarda,0.0,2.0,1.0,0.0,2.0,29,1,0,1,34,5.0,1.0,9.0,9.0,4.0,4.0,15.0,2.0,0.0,25.0,25.0,10.0,16.0,32.0,"342,90 M €","24,7","10,72 M €",25.0,321.0,"7,8 %"
L1,Eintracht Frankfurt,0.0,2.0,1.0,0.0,0.0,23,0,0,0,23,4.0,4.0,9.0,8.0,5.0,11.0,11.0,2.0,0.0,30.0,30.0,13.0,19.0,30.0,"367,40 M €","25,3","12,25 M €",30.0,253.0,"11,9 %"
L1,Werder Bremen,0.0,1.0,5.0,0.0,1.0,34,0,3,3,43,6.0,2.0,9.0,7.0,2.0,4.0,8.0,2.0,0.0,18.0,18.0,8.0,19.0,31.0,"187,30 M €","25,0","6,04 M €",18.0,254.0,"7,1 %"
L1,FC Colónia,0.0,0.0,6.0,2.0,0.0,26,1,0,1,31,7.0,3.0,10.0,8.0,3.0,3.0,9.0,1.0,1.0,22.0,22.0,8.0,,,,,,22.0,261.0,"8,4 %"
L1,Borussia Mönchengladbach,0.0,0.0,2.0,2.0,0.0,20,1,0,1,25,7.0,1.0,8.0,4.0,4.0,3.0,5.0,2.0,0.0,18.0,16.0,8.0,15.0,30.0,"149,15 M €","25,7","4,97 M €",18.0,240.0,"7,5 %"
L1,Hamburgo SV,0.0,1.0,2.0,0.0,0.0,22,1,4,5,39,7.0,1.0,9.0,5.0,1.0,4.0,8.0,0.0,0.0,16.0,16.0,8.0,24.0,30.0,"129,45 M €","25,8","4,32 M €",16.0,268.0,"6,0 %"
L1,VfL Wolfsburgo,0.0,0.0,1.0,1.0,0.0,26,0,1,1,29,8.0,1.0,9.0,10.0,3.0,9.0,7.0,1.0,1.0,23.0,23.0,10.0,22.0,29.0,"235,40 M €","25,9","8,12 M €",23.0,252.0,"9,1 %"
L1,FC Augsburgo,0.0,1.0,2.0,0.0,1.0,42,0,1,1,45,9.0,0.0,9.0,7.0,3.0,6.0,6.0,1.0,0.0,17.0,17.0,12.0,18.0,29.0,"149,38 M €","25,6","5,15 M €",17.0,264.0,"6,4 %"
L1,FC St. Pauli,0.0,3.0,1.0,0.0,1.0,25,1,0,1,30,9.0,2.0,12.0,4.0,2.0,2.0,5.0,1.0,1.0,13.0,13.0,8.0,23.0,29.0,"64,28 M €","25,8","2,22 M €",13.0,215.0,"6,0 %"
L1,FC Heidenheim 1846,0.0,0.0,2.0,2.0,0.0,24,1,0,1,29,10.0,1.0,13.0,4.0,2.0,4.0,4.0,0.0,1.0,13.0,13.0,10.0,,,,,,,,
L1,FSV Mainz 05,0.0,2.0,11.0,0.0,1.0,33,4,1,5,56,9.0,3.0,12.0,4.0,2.0,1.0,6.0,3.0,0.0,13.0,13.0,9.0,,,,,,,,
