Round,Home,Away
20,Aston Villa,Nottm Forest
20,Brighton,FC Burnley
20,Wolves,West Ham
20,Bournemouth,Arsenal
20,Leeds,Man United
20,Everton,Brentford
20,FC Fulham,Liverpool
20,Newcastle,Crystal Palace
20,Tottenham,AFC Sunderland
20,Man City,Chelsea
