Round,Home,Away
16,Frankfurt,Dortmund
16,Friburgo,Hamburgo
16,Werder Bremen,Hoffenheim
16,U Berlim,Mainz
16,St Pauli,Leipzig
16,Heidenheim,Colónia
16,Leverkusen,Estugarda
16,Mgladbach,Augsburgo
16,Bayern,Wolfsburgo
