Round,Home,Away
20,Ajax,FC Volendam
20,NEC Nijmegen,PEC Zwolle
20,PSV,NAC Breda
20,FC Twente,Excelsior
20,Telstar,AZ Alkmaar
20,Groningen,Fortuna Sittard
20,FC Utrecht,Sparta R
20,Feyenoord,Heracles Almelo
20,Go Ahead Eagles,Heerenveen
