Round,Home,Away
18,Rayo VM,Getafe
18,Celta de Vigo,Valência
18,Osasuna,Athletic Bilbao
18,Elche,Villarreal
18,Espanyol,Barcelona
18,Sevilha FC,Levante
18,Real Madrid,Betis
18,Maiorca,Girona FC
18,Alavés,Real Oviedo
18,Real Sociedad,Atlético
